"Laikotarpis","Rodiklis","Individualaus vartojimo išlaidų pagal paskirtį klasifikatorius (COICOP):Kodas","Individualaus vartojimo išlaidų pagal paskirtį klasifikatorius (COICOP):Pavadinimas","Lyginimas","Matavimo vienetai","Reikšmė"
"2023M09","Vartotojų kainų pokyčiai, apskaičiuoti pagal vartotojų kainų indeksą","00","Vartojimo prekės ir paslaugos","12 paskutinių mėnesių, palyginti su atitinkamais ankstesniais 12 mėnesių","proc.","14.2"
"2023M08","Vartotojų kainų pokyčiai, apskaičiuoti pagal vartotojų kainų indeksą","00","Vartojimo prekės ir paslaugos","12 paskutinių mėnesių, palyginti su atitinkamais ankstesniais 12 mėnesių","proc.","16.0"
"2023M07","Vartotojų kainų pokyčiai, apskaičiuoti pagal vartotojų kainų indeksą","00","Vartojimo prekės ir paslaugos","12 paskutinių mėnesių, palyginti su atitinkamais ankstesniais 12 mėnesių","proc.","17.4"
"2023M06","Vartotojų kainų pokyčiai, apskaičiuoti pagal vartotojų kainų indeksą","00","Vartojimo prekės ir paslaugos","12 paskutinių mėnesių, palyginti su atitinkamais ankstesniais 12 mėnesių","proc.","18.6"
"2023M05","Vartotojų kainų pokyčiai, apskaičiuoti pagal vartotojų kainų indeksą","00","Vartojimo prekės ir paslaugos","12 paskutinių mėnesių, palyginti su atitinkamais ankstesniais 12 mėnesių","proc.","19.7"
"2023M04","Vartotojų kainų pokyčiai, apskaičiuoti pagal vartotojų kainų indeksą","00","Vartojimo prekės ir paslaugos","12 paskutinių mėnesių, palyginti su atitinkamais ankstesniais 12 mėnesių","proc.","20.4"
"2023M03","Vartotojų kainų pokyčiai, apskaičiuoti pagal vartotojų kainų indeksą","00","Vartojimo prekės ir paslaugos","12 paskutinių mėnesių, palyginti su atitinkamais ankstesniais 12 mėnesių","proc.","20.7"
"2023M02","Vartotojų kainų pokyčiai, apskaičiuoti pagal vartotojų kainų indeksą","00","Vartojimo prekės ir paslaugos","12 paskutinių mėnesių, palyginti su atitinkamais ankstesniais 12 mėnesių","proc.","20.7"
"2023M01","Vartotojų kainų pokyčiai, apskaičiuoti pagal vartotojų kainų indeksą","00","Vartojimo prekės ir paslaugos","12 paskutinių mėnesių, palyginti su atitinkamais ankstesniais 12 mėnesių","proc.","20.3"
"2022M12","Vartotojų kainų pokyčiai, apskaičiuoti pagal vartotojų kainų indeksą","00","Vartojimo prekės ir paslaugos","12 paskutinių mėnesių, palyginti su atitinkamais ankstesniais 12 mėnesių","proc.","19.7"
